week,type,target,impact,unit
,priority_change,O-02394,hoch,priority
,priority_change,O-02395,hoch,priority
,priority_change,O-02396,hoch,priority
,priority_change,O-02397,hoch,priority
,priority_change,O-02400,hoch,priority
,priority_change,O-02403,hoch,priority
,priority_change,O-02404,hoch,priority
,priority_change,O-02406,hoch,priority
,priority_change,O-02407,hoch,priority
,priority_change,O-02409,hoch,priority
,priority_change,O-02410,hoch,priority
,priority_change,O-02412,hoch,priority
,priority_change,O-02418,hoch,priority
,priority_change,O-02419,hoch,priority
,priority_change,O-02420,hoch,priority
,priority_change,O-02425,hoch,priority
,priority_change,O-02428,hoch,priority
,priority_change,O-02431,hoch,priority
,priority_change,O-02432,hoch,priority
,priority_change,O-02435,hoch,priority
,priority_change,O-02436,hoch,priority
,priority_change,O-02440,hoch,priority
,priority_change,O-02441,hoch,priority
,priority_change,O-02445,hoch,priority
,priority_change,O-02446,hoch,priority
,priority_change,O-02447,hoch,priority
,priority_change,O-02448,hoch,priority
,priority_change,O-02449,normal,priority
,priority_change,O-02450,hoch,priority
,priority_change,O-02451,hoch,priority
,priority_change,O-02452,hoch,priority
,priority_change,O-02456,hoch,priority
,priority_change,O-02457,normal,priority
,priority_change,O-02461,hoch,priority
,priority_change,O-02462,hoch,priority
,priority_change,O-02463,hoch,priority
,priority_change,O-02466,hoch,priority
,priority_change,O-02471,hoch,priority
,priority_change,O-02472,hoch,priority
,priority_change,O-02475,hoch,priority
,priority_change,O-02479,hoch,priority
,priority_change,O-02480,hoch,priority
,priority_change,O-02481,hoch,priority
,priority_change,O-02485,hoch,priority
,priority_change,O-02486,normal,priority
,priority_change,O-02491,hoch,priority
,priority_change,O-02492,hoch,priority
,priority_change,O-02494,normal,priority
,priority_change,O-02495,hoch,priority
,priority_change,O-02498,hoch,priority
,priority_change,O-02504,hoch,priority
,priority_change,O-02510,hoch,priority
,priority_change,O-02513,hoch,priority
,priority_change,O-02514,normal,priority
,priority_change,O-02516,hoch,priority
,priority_change,O-02526,hoch,priority
,priority_change,O-02528,hoch,priority
,priority_change,O-02532,hoch,priority
,priority_change,O-02534,hoch,priority
,priority_change,O-02535,hoch,priority
,priority_change,O-02536,normal,priority
,priority_change,O-02538,hoch,priority
,priority_change,O-02539,hoch,priority
,priority_change,O-02540,hoch,priority
,priority_change,O-02543,hoch,priority
,priority_change,O-02553,hoch,priority
,priority_change,O-02555,normal,priority
,priority_change,O-02556,hoch,priority
,priority_change,O-02559,hoch,priority
,priority_change,O-02560,hoch,priority
,priority_change,O-02565,normal,priority
,priority_change,O-02572,hoch,priority
,priority_change,O-02574,hoch,priority
,priority_change,O-02575,hoch,priority
,priority_change,O-02578,hoch,priority
,priority_change,O-02579,normal,priority
,priority_change,O-02581,hoch,priority
,priority_change,O-02582,hoch,priority
,priority_change,O-02583,hoch,priority
,priority_change,O-02584,normal,priority
,priority_change,O-02589,hoch,priority
,priority_change,O-02590,hoch,priority
,priority_change,O-02598,hoch,priority
,priority_change,O-02600,hoch,priority
,priority_change,O-02602,hoch,priority
,priority_change,O-02603,normal,priority
,priority_change,O-02604,hoch,priority
,priority_change,O-02605,hoch,priority
,priority_change,O-02606,hoch,priority
,priority_change,O-02608,normal,priority
,priority_change,O-02621,hoch,priority
,priority_change,O-02627,hoch,priority
,priority_change,O-02630,hoch,priority
,priority_change,O-02640,hoch,priority
,priority_change,O-02645,hoch,priority
,priority_change,O-02646,hoch,priority
,priority_change,O-02648,hoch,priority
,priority_change,O-02655,hoch,priority
,priority_change,O-02656,normal,priority
,priority_change,O-02660,hoch,priority
,priority_change,O-02661,normal,priority
,priority_change,O-02663,hoch,priority
,priority_change,O-02670,hoch,priority
,priority_change,O-02678,hoch,priority
,priority_change,O-02685,normal,priority
,priority_change,O-02687,hoch,priority
,priority_change,O-02688,hoch,priority
,priority_change,O-02697,normal,priority
,priority_change,O-02702,normal,priority
,priority_change,O-02704,hoch,priority
,priority_change,O-02708,hoch,priority
,priority_change,O-02710,hoch,priority
,priority_change,O-02721,hoch,priority
,priority_change,O-02724,hoch,priority
,priority_change,O-02727,hoch,priority
,priority_change,O-02730,hoch,priority
,priority_change,O-02740,hoch,priority
,priority_change,O-02742,hoch,priority
,priority_change,O-02743,hoch,priority
,priority_change,O-02750,hoch,priority
,priority_change,O-02756,hoch,priority
,priority_change,O-02757,hoch,priority
,priority_change,O-02761,hoch,priority
,priority_change,O-02762,hoch,priority
,priority_change,O-02768,normal,priority
,priority_change,O-02774,hoch,priority
,priority_change,O-02779,hoch,priority
,priority_change,O-02781,hoch,priority
,priority_change,O-02786,normal,priority
,priority_change,O-02788,hoch,priority
,priority_change,O-02795,hoch,priority
,priority_change,O-02797,hoch,priority
,priority_change,O-02802,hoch,priority
,priority_change,O-02804,hoch,priority
,priority_change,O-02811,hoch,priority
,priority_change,O-02814,hoch,priority
,priority_change,O-02815,hoch,priority
,priority_change,O-02818,hoch,priority
,priority_change,O-02824,hoch,priority
,priority_change,O-02826,hoch,priority
,priority_change,O-02827,hoch,priority
,priority_change,O-02829,hoch,priority
,priority_change,O-02831,hoch,priority
,priority_change,O-02833,hoch,priority
,priority_change,O-02837,hoch,priority
,priority_change,O-02841,hoch,priority
,priority_change,O-02848,hoch,priority
,priority_change,O-02852,hoch,priority
,priority_change,O-02857,hoch,priority
,priority_change,O-02858,hoch,priority
,priority_change,O-02862,hoch,priority
,priority_change,O-02863,normal,priority
,priority_change,O-02865,hoch,priority
,priority_change,O-02867,hoch,priority
,priority_change,O-02868,normal,priority
,priority_change,O-02873,normal,priority
,priority_change,O-02882,normal,priority
,priority_change,O-02885,hoch,priority
,priority_change,O-02888,hoch,priority
,priority_change,O-02890,hoch,priority
,priority_change,O-02893,normal,priority
,priority_change,O-02900,hoch,priority
,priority_change,O-02901,hoch,priority
,priority_change,O-02903,hoch,priority
,priority_change,O-02905,hoch,priority
,priority_change,O-02906,hoch,priority
,priority_change,O-02907,hoch,priority
,priority_change,O-02908,hoch,priority
,priority_change,O-02910,hoch,priority
,priority_change,O-02913,hoch,priority
,priority_change,O-02919,hoch,priority
,priority_change,O-02923,hoch,priority
,priority_change,O-02927,hoch,priority
,priority_change,O-02929,hoch,priority
,priority_change,O-02934,hoch,priority
,priority_change,O-02935,hoch,priority
,priority_change,O-02936,hoch,priority
,priority_change,O-02937,hoch,priority
,priority_change,O-02939,hoch,priority
,priority_change,O-02940,hoch,priority
,priority_change,O-02942,hoch,priority
,priority_change,O-02949,normal,priority
,priority_change,O-02951,hoch,priority
,priority_change,O-02955,hoch,priority
,priority_change,O-02957,hoch,priority
,priority_change,O-02959,normal,priority
,priority_change,O-02965,hoch,priority
,priority_change,O-02967,hoch,priority
,priority_change,O-02968,hoch,priority
,priority_change,O-02969,hoch,priority
,priority_change,O-02970,hoch,priority
,priority_change,O-02972,hoch,priority
,priority_change,O-02974,hoch,priority
,priority_change,O-02976,hoch,priority
,priority_change,O-02978,hoch,priority
,priority_change,O-02979,hoch,priority
,priority_change,O-02980,hoch,priority
,priority_change,O-02982,hoch,priority
,priority_change,O-02985,normal,priority
,priority_change,O-02986,hoch,priority
,priority_change,O-02992,hoch,priority
,priority_change,O-02995,normal,priority
,priority_change,O-03002,hoch,priority
,priority_change,O-03003,hoch,priority
,priority_change,O-03004,hoch,priority
,priority_change,O-03007,hoch,priority
,priority_change,O-03008,hoch,priority
,priority_change,O-03009,hoch,priority
,priority_change,O-03012,hoch,priority
,priority_change,O-03014,normal,priority
,priority_change,O-03017,hoch,priority
,priority_change,O-03021,hoch,priority
,priority_change,O-03027,hoch,priority
,priority_change,O-03028,hoch,priority
,priority_change,O-03029,hoch,priority
,priority_change,O-03036,hoch,priority
,priority_change,O-03038,hoch,priority
,priority_change,O-03040,hoch,priority
,priority_change,O-03042,hoch,priority
,priority_change,O-03043,hoch,priority
,priority_change,O-03044,hoch,priority
,priority_change,O-03050,hoch,priority
,priority_change,O-03053,hoch,priority
,priority_change,O-03055,hoch,priority
,priority_change,O-03056,hoch,priority
,priority_change,O-03065,hoch,priority
,priority_change,O-03066,hoch,priority
,priority_change,O-03067,hoch,priority
,priority_change,O-03069,hoch,priority
,priority_change,O-03073,normal,priority
,priority_change,O-03078,hoch,priority
,priority_change,O-03080,hoch,priority
,priority_change,O-03083,hoch,priority
,priority_change,O-03091,hoch,priority
,priority_change,O-03093,hoch,priority
,priority_change,O-03097,hoch,priority
,priority_change,O-03107,hoch,priority
,priority_change,O-03115,hoch,priority
,priority_change,O-03116,hoch,priority
,priority_change,O-03120,normal,priority
,priority_change,O-03121,hoch,priority
,priority_change,O-03124,normal,priority
,priority_change,O-03128,hoch,priority
,priority_change,O-03130,hoch,priority
,priority_change,O-03138,hoch,priority
,priority_change,O-03141,normal,priority
,priority_change,O-03142,hoch,priority
,priority_change,O-03143,hoch,priority
,priority_change,O-03147,hoch,priority
,priority_change,O-03149,hoch,priority
,priority_change,O-03152,hoch,priority
,priority_change,O-03158,hoch,priority
,priority_change,O-03162,hoch,priority
,priority_change,O-03163,normal,priority
,priority_change,O-03164,hoch,priority
,priority_change,O-03178,hoch,priority
,priority_change,O-03198,hoch,priority
,priority_change,O-03204,hoch,priority
,priority_change,O-03211,hoch,priority
,priority_change,O-03214,hoch,priority
,priority_change,O-03216,hoch,priority
,priority_change,O-03218,hoch,priority
,priority_change,O-03221,hoch,priority
,priority_change,O-03227,hoch,priority
,priority_change,O-03232,normal,priority
,priority_change,O-03234,normal,priority
,priority_change,O-03260,hoch,priority
,priority_change,O-03261,hoch,priority
,priority_change,O-03262,hoch,priority
,priority_change,O-03265,hoch,priority
,priority_change,O-03275,hoch,priority
,priority_change,O-03276,hoch,priority
,priority_change,O-03281,hoch,priority
,priority_change,O-03282,hoch,priority
,priority_change,O-03285,hoch,priority
,priority_change,O-03286,hoch,priority
,priority_change,O-03287,hoch,priority
,priority_change,O-03290,hoch,priority
,priority_change,O-03293,normal,priority
,priority_change,O-03294,hoch,priority
,priority_change,O-03295,hoch,priority
,priority_change,O-03297,hoch,priority
,priority_change,O-03300,hoch,priority
,priority_change,O-03301,hoch,priority
,priority_change,O-03302,hoch,priority
,priority_change,O-03306,normal,priority
,priority_change,O-03308,hoch,priority
,priority_change,O-03310,hoch,priority
,priority_change,O-03312,hoch,priority
,priority_change,O-03314,hoch,priority
,priority_change,O-03320,hoch,priority
,priority_change,O-03325,hoch,priority
,priority_change,O-03326,hoch,priority
,priority_change,O-03327,hoch,priority
,priority_change,O-03328,hoch,priority
,priority_change,O-03329,normal,priority
,priority_change,O-03331,hoch,priority
,priority_change,O-03334,hoch,priority
,priority_change,O-03338,hoch,priority
,priority_change,O-03343,hoch,priority
,priority_change,O-03346,hoch,priority
,priority_change,O-03348,hoch,priority
,priority_change,O-03350,hoch,priority
,priority_change,O-03351,hoch,priority
,priority_change,O-03355,hoch,priority
,priority_change,O-03357,normal,priority
,priority_change,O-03359,hoch,priority
,priority_change,O-03368,hoch,priority
,priority_change,O-03370,hoch,priority
,priority_change,O-03372,hoch,priority
,priority_change,O-03378,normal,priority
,priority_change,O-03382,hoch,priority
,priority_change,O-03384,normal,priority
,priority_change,O-03387,hoch,priority
,priority_change,O-03388,normal,priority
,priority_change,O-03390,hoch,priority
,priority_change,O-03398,hoch,priority
,priority_change,O-03400,hoch,priority
,priority_change,O-03401,hoch,priority
,priority_change,O-03412,hoch,priority
,priority_change,O-03414,hoch,priority
,priority_change,O-03415,hoch,priority
,priority_change,O-03416,hoch,priority
,priority_change,O-03418,hoch,priority
,priority_change,O-03427,hoch,priority
,priority_change,O-03428,hoch,priority
,priority_change,O-03430,hoch,priority
,priority_change,O-03433,normal,priority
,priority_change,O-03438,hoch,priority
,priority_change,O-03439,hoch,priority
,priority_change,O-03441,hoch,priority
,priority_change,O-03442,hoch,priority
,priority_change,O-03443,hoch,priority
,priority_change,O-03447,hoch,priority
,priority_change,O-03448,hoch,priority
,priority_change,O-03449,hoch,priority
,priority_change,O-03452,hoch,priority
,priority_change,O-03454,hoch,priority
,priority_change,O-03460,hoch,priority
,priority_change,O-03462,hoch,priority
,priority_change,O-03464,hoch,priority
,priority_change,O-03471,hoch,priority
,priority_change,O-03475,hoch,priority
,priority_change,O-03479,normal,priority
,priority_change,O-03482,hoch,priority
,priority_change,O-03491,hoch,priority
,priority_change,O-03495,normal,priority
,priority_change,O-03501,normal,priority
,priority_change,O-03502,hoch,priority
,priority_change,O-03510,hoch,priority
,priority_change,O-03515,hoch,priority
,priority_change,O-03516,hoch,priority
,priority_change,O-03518,hoch,priority
,priority_change,O-03524,hoch,priority
,priority_change,O-03527,hoch,priority
,priority_change,O-03528,hoch,priority
,priority_change,O-03531,hoch,priority
,priority_change,O-03539,hoch,priority
,priority_change,O-03547,hoch,priority
,priority_change,O-03554,hoch,priority
,priority_change,O-03556,hoch,priority
,priority_change,O-03559,hoch,priority
,priority_change,O-03561,hoch,priority
,priority_change,O-03563,normal,priority
,priority_change,O-03568,hoch,priority
,priority_change,O-03577,hoch,priority
,priority_change,O-03579,hoch,priority
,priority_change,O-03582,normal,priority
,priority_change,O-03583,hoch,priority
,priority_change,O-03584,normal,priority
,priority_change,O-03590,hoch,priority
,priority_change,O-03595,hoch,priority
,priority_change,O-03596,hoch,priority
,priority_change,O-03599,hoch,priority
,priority_change,O-03604,hoch,priority
,priority_change,O-03605,hoch,priority
,priority_change,O-03607,normal,priority
,priority_change,O-03610,hoch,priority
,priority_change,O-03615,hoch,priority
,priority_change,O-03616,hoch,priority
,priority_change,O-03623,hoch,priority
,priority_change,O-03634,hoch,priority
,priority_change,O-03636,hoch,priority
,priority_change,O-03637,hoch,priority
,priority_change,O-03641,hoch,priority
,priority_change,O-03643,normal,priority
,priority_change,O-03644,hoch,priority
,priority_change,O-03645,hoch,priority
,priority_change,O-03649,hoch,priority
,priority_change,O-03655,hoch,priority
,priority_change,O-03667,hoch,priority
,priority_change,O-03674,normal,priority
,priority_change,O-03676,hoch,priority
,priority_change,O-03683,hoch,priority
,priority_change,O-03685,hoch,priority
,priority_change,O-03686,hoch,priority
,priority_change,O-03690,hoch,priority
,priority_change,O-03694,hoch,priority
,priority_change,O-03695,normal,priority
,priority_change,O-03698,hoch,priority
,priority_change,O-03699,hoch,priority
,priority_change,O-03701,hoch,priority
,priority_change,O-03704,hoch,priority
,priority_change,O-03706,hoch,priority
,priority_change,O-03713,hoch,priority
,priority_change,O-03721,normal,priority
,priority_change,O-03724,hoch,priority
,priority_change,O-03726,hoch,priority
,priority_change,O-03729,hoch,priority
,priority_change,O-03730,hoch,priority
,priority_change,O-03734,hoch,priority
,priority_change,O-03735,hoch,priority
,priority_change,O-03738,hoch,priority
,priority_change,O-03742,hoch,priority
,priority_change,O-03746,hoch,priority
,priority_change,O-03752,hoch,priority
,priority_change,O-03763,hoch,priority
,priority_change,O-03769,normal,priority
,priority_change,O-03772,hoch,priority
,priority_change,O-03773,normal,priority
,priority_change,O-03774,hoch,priority
,priority_change,O-03775,hoch,priority
,priority_change,O-03777,hoch,priority
,priority_change,O-03778,hoch,priority
,priority_change,O-03793,hoch,priority
,priority_change,O-03798,normal,priority
,priority_change,O-03799,hoch,priority
,priority_change,O-03802,hoch,priority
,priority_change,O-03808,hoch,priority
,priority_change,O-03811,hoch,priority
,priority_change,O-03814,hoch,priority
,priority_change,O-03816,hoch,priority
,priority_change,O-03818,hoch,priority
,priority_change,O-03820,normal,priority
,priority_change,O-03826,hoch,priority
,priority_change,O-03831,hoch,priority
,priority_change,O-03837,normal,priority
,priority_change,O-03841,hoch,priority
,priority_change,O-03847,hoch,priority
,priority_change,O-03848,hoch,priority
,priority_change,O-03852,hoch,priority
,priority_change,O-03853,hoch,priority
,priority_change,O-03856,hoch,priority
,priority_change,O-03863,hoch,priority
,priority_change,O-03864,hoch,priority
,priority_change,O-03867,hoch,priority
,priority_change,O-03868,hoch,priority
,priority_change,O-03870,hoch,priority
,priority_change,O-03871,hoch,priority
,priority_change,O-03873,hoch,priority
,priority_change,O-03875,hoch,priority
,priority_change,O-03881,hoch,priority
,priority_change,O-03887,hoch,priority
,priority_change,O-03890,hoch,priority
,priority_change,O-03892,hoch,priority
,priority_change,O-03897,hoch,priority
,priority_change,O-03898,hoch,priority
,priority_change,O-03904,hoch,priority
,priority_change,O-03906,hoch,priority
,priority_change,O-03910,hoch,priority
,priority_change,O-03917,hoch,priority
,priority_change,O-03918,hoch,priority
,priority_change,O-03919,normal,priority
,priority_change,O-03922,hoch,priority
,priority_change,O-03926,hoch,priority
,priority_change,O-03929,hoch,priority
,priority_change,O-03930,hoch,priority
,priority_change,O-03931,hoch,priority
,priority_change,O-03936,hoch,priority
,priority_change,O-03950,hoch,priority
,priority_change,O-03954,hoch,priority
,priority_change,O-03955,hoch,priority
,priority_change,O-03958,hoch,priority
,priority_change,O-03959,hoch,priority
,priority_change,O-03962,hoch,priority
,priority_change,O-03969,hoch,priority
,priority_change,O-03971,normal,priority
,priority_change,O-03973,hoch,priority
,priority_change,O-03978,hoch,priority
,priority_change,O-03979,hoch,priority
,priority_change,O-03980,hoch,priority
,priority_change,O-03984,hoch,priority
,priority_change,O-03985,normal,priority
,priority_change,O-03989,hoch,priority
